Bus
Number,Substation Latitude,Substation Longitude,Area Num,Sub Name,Name,Area Name,Nom kV,PU Volt,Volt (kV),Angle (Deg),Load MW,Load Mvar,Gen MW,Sub Num,Gen Mvar,Switched Shunts Mvar,Act G Shunt MW,Act B Shunt Mvar,Zone Num
111217,28.7950000,-96.0481000,7,ELMATON 3,ELMATON 3 2,Coast,13.80,1.04200,14.380,3.93,,,1104.16,832,65.30,,0.00,0.00,1
111218,28.7950000,-96.0481000,7,ELMATON 3,ELMATON 3 3,Coast,18.00,1.04134,18.744,6.02,,,1104.16,832,65.30,,0.00,0.00,1
150441,32.2984000,-97.7855000,5,GLEN ROSE 5,GLEN ROSE 5 2,North Central,13.80,1.02607,14.160,2.34,,,1039.46,2186,-155.42,,0.00,0.00,1
150442,32.2984000,-97.7855000,5,GLEN ROSE 5,GLEN ROSE 5 3,North Central,13.80,1.02574,14.155,2.41,,,1030.84,2186,-155.42,,0.00,0.00,1
210334,31.4745000,-96.9571000,5,RIESEL 5,RIESEL 5 3,North Central,13.80,1.03658,14.305,10.14,,,804.48,3575,5.22,,0.00,0.00,1
230259,31.4220000,-96.2525000,8,DONIE 3,DONIE 3 3,East,13.80,1.03975,14.349,16.40,,,740.13,3991,19.16,,0.00,0.00,1
230271,31.1803000,-96.4866000,8,FRANKLIN 6,FRANKLIN 6 5,East,20.00,1.04904,20.981,15.50,,,737.54,3994,91.11,,0.00,0.00,1
230272,31.1803000,-96.4866000,8,FRANKLIN 6,FRANKLIN 6 6,East,24.00,1.05019,25.205,16.60,,,737.54,3994,91.11,,0.00,0.00,1
230260,31.4220000,-96.2525000,8,DONIE 3,DONIE 3 4,East,18.00,1.03913,18.704,17.71,,,716.84,3991,19.16,,0.00,0.00,1
250360,32.2606000,-94.5706000,8,TATUM 4,TATUM 4 4,East,13.80,1.04107,14.367,8.63,,,694.41,4554,69.28,,0.00,0.00,1
250359,32.2606000,-94.5706000,8,TATUM 4,TATUM 4 3,East,24.00,1.04567,25.096,12.48,,,694.41,4554,69.28,,0.00,0.00,1
250358,32.2606000,-94.5706000,8,TATUM 4,TATUM 4 2,East,18.00,1.04521,18.814,11.99,,,690.10,4554,69.28,,0.00,0.00,1
120469,29.3098000,-98.3203000,6,ADKINS 8,ADKINS 8 2,South Central,13.80,1.03745,14.317,16.78,,,677.16,1256,-9.12,,0.00,0.00,1
111180,29.7501000,-94.9256000,7,BAYTOWN 10,BAYTOWN 10 2,Coast,20.00,1.03855,20.771,-8.62,,,643.52,828,1.54,,0.00,0.00,1
111181,29.7501000,-94.9256000,7,BAYTOWN 10,BAYTOWN 10 3,Coast,13.80,1.03730,14.315,-7.56,,,630.21,828,1.54,,0.00,0.00,1
111208,29.4829000,-95.6311000,7,THOMPSONS 6,THOMPSONS 6 2,Coast,24.00,1.03851,24.924,-5.25,,,572.78,831,3.33,,0.00,0.00,1
111209,29.4829000,-95.6311000,7,THOMPSONS 6,THOMPSONS 6 3,Coast,13.80,1.03847,14.331,-5.02,,,571.92,831,3.33,,0.00,0.00,1
160210,28.7128000,-97.2142000,4,FANNIN 6,FANNIN 6 2,South,22.00,1.04075,22.896,21.48,,,565.02,2405,11.95,,0.00,0.00,1
230264,29.9173000,-96.7506000,6,FAYETTEVILLE 2,FAYETTEVILLE 2 2,South Central,13.80,1.04449,14.414,9.93,,,508.95,3993,35.66,,0.00,0.00,1
230265,29.9173000,-96.7506000,6,FAYETTEVILLE 2,FAYETTEVILLE 2 3,South Central,13.80,1.04341,14.399,8.50,,,508.95,3993,35.66,,0.00,0.00,1
120470,29.3098000,-98.3203000,6,ADKINS 8,ADKINS 8 3,South Central,13.80,1.03941,14.344,14.44,,,483.07,1256,-9.12,,0.00,0.00,1
111212,29.4829000,-95.6311000,7,THOMPSONS 6,THOMPSONS 6 6,Coast,22.00,1.03805,22.837,-4.69,,,476.17,831,3.33,,0.00,0.00,1
130351,32.7232000,-96.9358000,5,DUNCANVILLE 14,DUNCANVILLE 14 2,North Central,13.80,1.02940,14.206,-10.21,,,448.84,1569,2.46,,0.00,0.00,1
170518,32.8359000,-96.5458000,5,SUNNYVALE 6,SUNNYVALE 6 2,North Central,13.80,1.02857,14.194,-10.71,,,426.44,2863,-11.98,,0.00,0.00,1
111390,29.2894000,-96.0654000,7,WHARTON 4,WHARTON 4 2,Coast,18.00,1.04077,18.734,-1.28,,,407.59,873,14.18,,0.00,0.00,1
250347,31.9399000,-94.9898000,8,REKLAW 4,REKLAW 4 3,East,13.80,1.03573,14.293,4.16,,,379.17,4552,-13.18,,0.00,0.00,1
150431,32.7283000,-97.2192000,5,KENNEDALE 8,KENNEDALE 8 2,North Central,22.00,1.02212,22.487,-6.76,,,375.24,2184,-78.90,,0.00,0.00,1
120463,29.3081000,-98.3228000,6,ADKINS 7,ADKINS 7 2,South Central,18.00,1.04285,18.771,16.23,,,362.30,1254,22.21,,0.00,0.00,1
120439,29.3081000,-98.3242000,6,ADKINS 6,ADKINS 6 3,South Central,18.00,1.04311,18.776,16.84,,,353.68,1251,22.21,,0.00,0.00,1
130360,32.7563000,-96.4916000,5,FORNEY 3,FORNEY 3 4,North Central,20.00,1.03579,20.716,-13.58,,,351.95,1571,-39.24,,0.00,0.00,1
150433,32.7283000,-97.2192000,5,KENNEDALE 8,KENNEDALE 8 4,North Central,24.00,1.02167,24.520,-6.98,,,340.74,2184,-78.90,,0.00,0.00,1
120467,28.7045000,-98.4775000,4,CHRISTINE 4,CHRISTINE 4 2,South,20.00,1.03742,20.748,19.30,,,337.29,1255,-63.48,,0.00,0.00,1
170519,32.8359000,-96.5458000,5,SUNNYVALE 6,SUNNYVALE 6 3,North Central,13.80,1.03005,14.215,-12.25,,,317.79,2863,-11.98,,0.00,0.00,1
120438,29.3081000,-98.3242000,6,ADKINS 6,ADKINS 6 2,South Central,13.80,1.04390,14.406,17.06,,,317.64,1251,22.21,,0.00,0.00,1
130359,32.7563000,-96.4916000,5,FORNEY 3,FORNEY 3 3,North Central,13.80,1.03526,14.287,-13.59,,,312.98,1571,-39.24,,0.00,0.00,1
190196,33.9153000,-99.7403000,2,CROWELL 2,CROWELL 2 3,North,13.80,1.01990,14.075,29.34,,,302.18,3132,-96.05,,0.00,0.00,1
230284,30.5924000,-95.9178000,8,SHIRO 3,SHIRO 3 2,East,24.00,1.05180,25.243,-5.14,,,297.28,3997,69.42,,0.00,0.00,1
111392,29.2894000,-96.0654000,7,WHARTON 4,WHARTON 4 4,Coast,13.80,1.04212,14.381,-3.14,,,289.24,873,14.18,,0.00,0.00,1
150525,32.3377000,-97.7346000,5,RAINBOW 5,RAINBOW 5 5,North Central,13.80,1.02509,14.146,-0.84,,,284.06,2207,-88.39,,0.00,0.00,1
150524,32.3377000,-97.7346000,5,RAINBOW 5,RAINBOW 5 4,North Central,13.80,1.02313,14.119,-0.60,,,282.77,2207,-88.25,,0.00,0.00,1
160189,27.8194000,-97.4192000,4,CORPUS CHRISTI 27,CORPUS CHRISTI 27 2,South,13.80,1.03773,14.321,28.17,,,275.18,2401,-10.09,,0.00,0.00,1
210336,31.0559000,-97.3172000,5,TEMPLE 7,TEMPLE 7 2,North Central,24.00,1.03098,24.743,6.65,,,269.14,3576,-25.96,,0.00,0.00,1
160301,28.1093000,-97.7505000,4,MATHIS 4,MATHIS 4 3,South,24.00,1.02978,24.715,24.71,,,264.91,2431,-59.74,,0.00,0.00,1
240317,31.2081000,-101.1108000,1,BARNHART 2,BARNHART 2 3,Far West,13.80,1.01347,13.986,30.64,,,260.86,4221,-84.10,,0.00,0.00,1
120444,29.2567000,-98.3825000,6,ELMENDORF 11,ELMENDORF 11 5,South Central,18.00,1.03201,18.576,15.12,,,258.86,1252,-30.92,,0.00,0.00,1
190172,34.1970000,-101.3815000,2,LOCKNEY 4,LOCKNEY 4 3,North,18.00,1.03459,18.623,39.85,,,258.79,3124,-45.72,,0.00,0.00,1
190201,33.1509000,-101.6792000,1,TAHOKA 1,TAHOKA 1 2,Far West,13.80,1.03809,14.326,42.27,,,258.79,3134,-13.25,,0.00,0.00,1
180140,27.6145000,-98.7945000,4,BRUNI 3,BRUNI 3 3,South,13.80,1.04077,14.363,28.82,,,258.79,2995,-13.39,,0.00,0.00,1
240320,30.5950000,-101.4530000,1,OZONA 4,OZONA 4 3,Far West,13.80,1.02385,14.129,35.92,,,258.79,4222,-77.22,,0.00,0.00,1
160208,27.6065000,-97.3117000,4,CORPUS CHRISTI 28,CORPUS CHRISTI 28 6,South,13.80,1.03983,14.350,29.79,,,258.79,2404,3.94,,0.00,0.00,1
240304,31.1814000,-101.3188000,1,BARNHART 1,BARNHART 1 3,Far West,13.80,1.02499,14.145,30.51,,,258.79,4217,-69.58,,0.00,0.00,1
190165,34.7201000,-102.2533000,2,UMBARGER 4,UMBARGER 4 3,North,13.80,1.03268,14.251,52.30,,,258.53,3121,-30.29,,0.00,0.00,1
240221,32.2140000,-100.0571000,3,WINGATE 3,WINGATE 3 2,West,13.80,1.00965,13.933,26.36,,,257.92,4189,-92.59,,0.00,0.00,1
150428,33.1344000,-98.6117000,5,GRAHAM 3,GRAHAM 3 3,North Central,13.80,1.01599,14.021,4.46,,,257.66,2183,-99.95,,0.00,0.00,1
270207,29.5931000,-97.9732000,6,SEGUIN 10,SEGUIN 10 2,South Central,13.80,1.03956,14.346,9.19,,,256.14,4891,9.91,,0.00,0.00,1
150482,33.1010000,-97.9574000,5,PERRIN 2,PERRIN 2 4,North Central,13.80,1.02333,14.122,0.05,,,250.59,2193,-72.97,,0.00,0.00,1
190139,35.6539000,-100.5386000,2,MOBEETIE 1,MOBEETIE 1 2,North,20.00,1.03947,20.789,46.35,,,248.95,3111,-8.05,,0.00,0.00,1
160263,27.0011000,-97.5994000,4,ARMSTRONG 2,ARMSTRONG 2 3,South,13.80,1.04410,14.409,37.81,,,244.30,2418,3.92,,0.00,0.00,1
220149,31.2092000,-102.2417000,1,MC CAMEY 2,MC CAMEY 2 2,Far West,18.00,1.04015,18.723,42.38,,,239.81,3704,11.45,,0.00,0.00,1
111213,29.4829000,-95.6311000,7,THOMPSONS 6,THOMPSONS 6 7,Coast,13.80,1.04035,14.357,-7.19,,,235.50,831,3.33,,0.00,0.00,1
140308,30.3034000,-97.6128000,6,MANOR 7,MANOR 7 6,South Central,18.00,1.02566,18.462,4.10,,,230.88,1809,-78.74,,0.00,0.00,1
260212,32.4302000,-97.0537000,5,VENUS 3,VENUS 3 7,North Central,13.80,1.03587,14.295,-6.05,,,226.18,4715,-2.02,,0.00,0.00,1
260210,32.4302000,-97.0537000,5,VENUS 3,VENUS 3 5,North Central,13.80,1.03535,14.288,-5.69,,,224.28,4715,-2.02,,0.00,0.00,1
260211,32.4302000,-97.0537000,5,VENUS 3,VENUS 3 6,North Central,13.80,1.03583,14.294,-6.22,,,223.42,4715,-2.02,,0.00,0.00,1
190142,33.8251000,-101.0997000,2,DOUGHERTY 2,DOUGHERTY 2 2,North,13.80,1.03891,14.337,38.41,,,221.69,3112,-28.07,,0.00,0.00,1
240278,32.5886000,-100.6728000,3,HERMLEIGH 4,HERMLEIGH 4 3,West,13.80,1.04000,14.352,28.24,,,221.01,4207,-27.96,,0.00,0.00,1
190193,32.8638000,-100.9751000,3,SNYDER 2,SNYDER 2 3,West,13.80,1.02455,14.139,33.81,,,218.24,3131,-71.03,,0.00,0.00,1
220250,31.8435000,-102.8683000,1,KERMIT 2,KERMIT 2 3,Far West,13.80,1.04000,14.352,40.78,,,215.66,3740,13.01,,0.00,0.00,1
240301,33.3454000,-99.6243000,2,WEINERT 3,WEINERT 3 3,North,18.00,1.01936,18.348,15.41,,,215.66,4216,-66.94,,0.00,0.00,1
200179,26.4656000,-98.4111000,4,PENITAS 2,PENITAS 2 5,South,24.00,1.03728,24.895,35.62,,,215.66,3291,-18.39,,0.00,0.00,1
180131,27.3200000,-99.0000000,4,MIRANDO CITY 7,MIRANDO CITY 7 3,South,13.80,1.04000,14.352,29.08,,,215.40,2992,-17.73,,0.00,0.00,1
160291,27.5925000,-97.5008000,4,CORPUS CHRISTI 33,CORPUS CHRISTI 33 3,South,18.00,1.05022,18.904,27.69,,,214.79,2428,58.99,,0.00,0.00,1
240228,32.3123000,-100.5303000,3,MARYNEAL 2,MARYNEAL 2 3,West,22.00,1.04000,22.880,26.73,,,207.89,4191,-18.68,,0.00,0.00,1
180137,26.6491000,-99.0387000,4,LOPENO 3,LOPENO 3 3,South,13.80,1.03772,14.321,35.44,,,204.96,2994,-3.24,,0.00,0.00,1
240239,32.3182000,-100.1770000,3,NOLAN 4,NOLAN 4 3,West,13.80,1.04000,14.352,23.60,,,200.56,4195,-10.21,,0.00,0.00,1
190155,34.6675000,-102.5778000,2,SUMMERFIELD 3,SUMMERFIELD 3 2,North,13.80,1.03888,14.337,55.96,,,198.75,3117,11.97,,0.00,0.00,1
150528,34.1030000,-99.1187000,2,OKLAUNION 2,OKLAUNION 2 3,North,18.00,1.03807,18.685,18.57,,,198.40,2208,-12.11,,0.00,0.00,1
240293,33.3501000,-99.5400000,2,WEINERT 2,WEINERT 2 2,North,13.80,1.03282,14.253,17.66,,,198.40,4213,-12.74,,0.00,0.00,1
200189,26.5223000,-97.6911000,4,SAN PERLITA 3,SAN PERLITA 3 3,South,22.00,1.03329,22.732,36.52,,,196.68,3295,-36.02,,0.00,0.00,1
160286,27.5928000,-97.6481000,4,BISHOP 5,BISHOP 5 3,South,18.00,1.04000,18.720,27.40,,,195.04,2426,0.95,,0.00,0.00,1
150489,33.0583000,-97.9103000,5,POOLVILLE 2,POOLVILLE 2 3,North Central,18.00,1.02440,18.439,-1.07,,,194.09,2194,-57.57,,0.00,0.00,1
150499,33.3837000,-98.7119000,5,OLNEY 2,OLNEY 2 3,North Central,18.00,1.04000,18.720,5.40,,,194.09,2198,-27.11,,0.00,0.00,1
240222,32.2140000,-100.0571000,3,WINGATE 3,WINGATE 3 3,West,13.80,1.02016,14.078,24.88,,,192.80,4189,-70.48,,0.00,0.00,1
210337,31.0559000,-97.3172000,5,TEMPLE 7,TEMPLE 7 3,North Central,13.80,1.02988,14.212,6.41,,,191.77,3576,-25.96,,0.00,0.00,1
200168,26.3404000,-98.1900000,4,EDINBURG 15,EDINBURG 15 2,South,13.80,1.04000,14.352,35.14,,,190.64,3289,-1.49,,0.00,0.00,1
200169,26.3404000,-98.1900000,4,EDINBURG 15,EDINBURG 15 3,South,24.00,1.02356,24.565,35.23,,,190.64,3289,-67.23,,0.00,0.00,1
190129,35.4275000,-101.2531000,2,WHITE DEER 1,WHITE DEER 1 3,North,24.00,1.04000,24.960,48.62,,,188.05,3107,-13.30,,0.00,0.00,1
240258,31.9520000,-101.0189000,3,STERLING CITY 2,STERLING CITY 2 2,West,13.80,1.04000,14.352,29.10,,,185.03,4202,-20.73,,0.00,0.00,1
240223,32.2140000,-100.0571000,3,WINGATE 3,WINGATE 3 4,West,13.80,1.02010,14.077,24.71,,,183.74,4189,-72.47,,0.00,0.00,1
150477,32.3342000,-97.7317000,5,RAINBOW 4,RAINBOW 4 3,North Central,13.80,1.04000,14.352,-2.35,,,183.31,2192,-14.12,,0.00,0.00,1
220209,32.7000000,-101.7411000,1,ACKERLY 2,ACKERLY 2 2,Far West,13.80,1.04000,14.352,26.86,,,182.19,3725,9.70,,0.00,0.00,1
190132,35.2384000,-101.3108000,2,PANHANDLE 4,PANHANDLE 4 2,North,18.00,1.03887,18.700,53.35,,,182.19,3108,-30.24,,0.00,0.00,1
210339,31.0559000,-97.3172000,5,TEMPLE 7,TEMPLE 7 5,North Central,18.00,1.04000,18.720,6.14,,,182.01,3576,19.40,,0.00,0.00,1
190123,32.9264000,-101.6478000,1,ODONNELL 2,ODONNELL 2 3,Far West,18.00,1.03826,18.689,39.71,,,182.01,3105,-6.15,,0.00,0.00,1
140309,30.3034000,-97.6128000,6,MANOR 7,MANOR 7 7,South Central,13.80,1.01950,14.069,4.38,,,181.47,1809,-78.74,,0.00,0.00,1
190209,35.2002000,-102.3155000,2,WILDORADO 2,WILDORADO 2 3,North,13.80,1.04000,14.352,51.79,,,181.24,3137,-4.30,,0.00,0.00,1
270214,29.7807000,-97.9894000,6,SAN MARCOS 7,SAN MARCOS 7 4,South Central,22.00,1.04270,22.939,6.09,,,181.15,4892,35.61,,0.00,0.00,1
240244,32.4694000,-100.6664000,3,LORAINE 3,LORAINE 3 3,West,13.80,1.04000,14.352,28.24,,,180.29,4197,-17.30,,0.00,0.00,1
260208,32.4302000,-97.0537000,5,VENUS 3,VENUS 3 3,North Central,13.20,1.03622,13.678,-6.48,,,179.54,4715,-2.02,,0.00,0.00,1
220214,31.7433000,-101.4934000,1,GARDEN CITY 3,GARDEN CITY 3 5,Far West,18.00,1.04000,18.720,32.16,,,178.74,3726,-12.47,,0.00,0.00,1
220142,31.8403000,-102.3264000,1,ODESSA 18,ODESSA 18 2,Far West,22.00,1.05461,23.201,35.74,,,177.70,3703,58.92,,0.00,0.00,1
220143,31.8403000,-102.3264000,1,ODESSA 18,ODESSA 18 3,Far West,13.80,1.05026,14.494,34.96,,,176.75,3703,58.92,,0.00,0.00,1
170550,33.6308000,-95.5900000,2,PARIS 7,PARIS 7 3,North,13.80,1.03572,14.293,-13.03,,,175.98,2870,-26.88,,0.00,0.00,1
150515,33.5098000,-98.3608000,2,WINDTHORST 3,WINDTHORST 3 3,North,13.80,1.03139,14.233,9.45,,,175.98,2204,-59.71,,0.00,0.00,1
200186,26.4754000,-97.6911000,4,RAYMONDVILLE 4,RAYMONDVILLE 4 2,South,13.80,1.04000,14.352,39.73,,,175.11,3294,-6.17,,0.00,0.00,1
240280,32.4969000,-100.5797000,3,ROSCOE 1,ROSCOE 1 2,West,13.80,1.04000,14.352,30.61,,,174.56,4208,-5.68,,0.00,0.00,1
220222,30.5756000,-102.5513000,1,FORT STOCKTON 4,FORT STOCKTON 4 2,Far West,13.80,1.03058,14.222,45.54,,,174.25,3729,-49.43,,0.00,0.00,1
200184,26.3489000,-97.6668000,4,LYFORD 2,LYFORD 2 3,South,13.80,1.03232,14.246,34.96,,,173.91,3293,-40.99,,0.00,0.00,1
160270,27.0702000,-97.5077000,4,ARMSTRONG 3,ARMSTRONG 3 3,South,18.00,1.03632,18.654,37.02,,,173.91,2420,-28.30,,0.00,0.00,1
160275,27.1197000,-97.5499000,4,RIVIERA 5,RIVIERA 5 2,South,13.80,1.03955,14.346,37.19,,,173.39,2422,-14.40,,0.00,0.00,1
160288,26.9417000,-97.6425000,4,ARMSTRONG 4,ARMSTRONG 4 2,South,13.80,1.03334,14.260,36.58,,,173.39,2427,-37.31,,0.00,0.00,1
190206,34.1705000,-99.5634000,2,CHILLICOTHE 3,CHILLICOTHE 3 3,North,24.00,1.01656,24.397,26.45,,,172.70,3136,-61.95,,0.00,0.00,1
160278,27.9959000,-97.2967000,4,TAFT 3,TAFT 3 3,South,13.80,1.04085,14.364,27.51,,,172.61,2423,4.36,,0.00,0.00,1
210349,31.8226000,-98.6906000,5,COMANCHE 4,COMANCHE 4 3,North Central,22.00,1.04000,22.880,8.78,,,172.61,3578,-33.54,,0.00,0.00,1
190162,34.0806000,-101.3236000,2,LOCKNEY 3,LOCKNEY 3 3,North,18.00,1.03727,18.671,39.11,,,172.52,3120,-14.23,,0.00,0.00,1
210354,31.6845000,-98.6034000,5,PRIDDY 4,PRIDDY 4 3,North Central,13.80,1.04000,14.352,8.95,,,172.52,3580,-37.60,,0.00,0.00,1
190157,35.2542000,-101.1866000,2,GROOM 2,GROOM 2 2,North,18.00,1.03831,18.690,52.84,,,172.52,3118,-4.46,,0.00,0.00,1
190147,34.7481000,-102.1744000,2,UMBARGER 3,UMBARGER 3 2,North,18.00,1.03653,18.658,54.82,,,172.52,3114,-8.24,,0.00,0.00,1
180126,26.3806000,-98.8183000,4,GRULLA 2,GRULLA 2 3,South,13.80,1.03768,14.320,35.05,,,172.52,2990,-11.72,,0.00,0.00,1
150437,32.6581000,-98.3103000,5,GORDON 3,GORDON 3 4,North Central,13.80,1.02668,14.168,4.79,,,172.52,2185,-55.53,,0.00,0.00,1
200181,26.3308000,-97.5857000,4,HARLINGEN 6,HARLINGEN 6 2,South,13.80,1.02942,14.206,34.59,,,172.52,3292,-25.60,,0.00,0.00,1
240236,32.5145000,-99.6564000,3,ABILENE 7,ABILENE 7 3,West,18.00,1.04000,18.720,16.94,,,172.52,4194,-6.87,,0.00,0.00,1
180143,26.5237000,-98.7455000,4,RIO GRANDE CITY 6,RIO GRANDE CITY 6 3,South,24.00,1.04000,24.960,36.16,,,172.52,2996,-0.18,,0.00,0.00,1
240233,32.6256000,-99.4928000,3,ABILENE 6,ABILENE 6 3,West,13.80,1.02614,14.161,16.18,,,172.52,4193,-53.92,,0.00,0.00,1
180134,27.4400000,-98.9100000,4,BRUNI 2,BRUNI 2 3,South,13.80,1.04000,14.352,28.18,,,172.52,2993,-21.64,,0.00,0.00,1
190145,34.3112000,-101.2511000,2,SOUTH PLAINS 1,SOUTH PLAINS 1 3,North,13.80,1.03635,14.302,39.35,,,172.52,3113,-21.06,,0.00,0.00,1
180123,26.3886000,-98.8061000,4,RIO GRANDE CITY 5,RIO GRANDE CITY 5 2,South,18.00,1.04000,18.720,34.18,,,172.52,2989,-14.96,,0.00,0.00,1
240312,31.0486000,-100.6231000,3,ELDORADO 4,ELDORADO 4 5,West,13.80,1.03598,14.297,24.05,,,172.09,4219,-62.03,,0.00,0.00,1
240275,31.9925000,-101.1167000,1,STERLING CITY 3,STERLING CITY 3 3,Far West,13.80,1.02709,14.174,30.23,,,172.09,4206,-57.09,,0.00,0.00,1
150429,33.1344000,-98.6117000,5,GRAHAM 3,GRAHAM 3 4,North Central,13.80,1.01507,14.008,4.84,,,171.61,2183,-61.99,,0.00,0.00,1
270218,29.6244000,-98.1419000,6,MARION 2,MARION 2 3,South Central,13.80,1.04000,14.352,8.96,,,169.94,4893,32.11,,0.00,0.00,1
220216,31.7272000,-101.5820000,1,GARDEN CITY 4,GARDEN CITY 4 2,Far West,18.00,1.04191,18.754,32.55,,,169.68,3727,-6.26,,0.00,0.00,1
260209,32.4302000,-97.0537000,5,VENUS 3,VENUS 3 4,North Central,13.80,1.04000,14.352,-7.96,,,169.52,4715,21.31,,0.00,0.00,1
150476,32.3342000,-97.7317000,5,RAINBOW 4,RAINBOW 4 2,North Central,13.80,1.05693,14.586,-1.46,,,167.39,2192,57.97,,0.00,0.00,1
190152,35.2950000,-102.7211000,2,ADRIAN 2,ADRIAN 2 2,North,18.00,1.04000,18.720,55.86,,,167.35,3116,-6.42,,0.00,0.00,1
111339,29.4731000,-95.6244000,7,THOMPSONS 7,THOMPSONS 7 3,Coast,18.00,1.05212,18.938,-8.25,,,166.49,859,57.01,,0.00,0.00,1
120472,29.2571000,-98.3840000,6,ELMENDORF 12,ELMENDORF 12 2,South Central,13.80,1.04000,14.352,14.22,,,163.90,1257,-1.93,,0.00,0.00,1
160281,27.2231000,-97.7892000,4,RIVIERA 6,RIVIERA 6 3,South,13.80,1.04398,14.407,34.09,,,162.17,2424,3.58,,0.00,0.00,1
240259,31.9520000,-101.0189000,3,STERLING CITY 2,STERLING CITY 2 3,West,18.00,1.04000,18.720,28.47,,,160.45,4202,-28.88,,0.00,0.00,1
111325,29.7189000,-95.2319000,7,GALENA PARK 21,GALENA PARK 21 3,Coast,13.20,1.04000,13.728,-13.08,,,159.59,856,6.73,,0.00,0.00,1
111326,29.7189000,-95.2319000,7,GALENA PARK 21,GALENA PARK 21 4,Coast,13.80,1.04000,14.352,-12.34,,,159.59,856,5.88,,0.00,0.00,1
150552,34.0723000,-99.2647000,2,VERNON 2,VERNON 2 3,North,13.80,1.04000,14.352,21.90,,,158.55,2215,-12.86,,0.00,0.00,1
111327,29.7189000,-95.2319000,7,GALENA PARK 21,GALENA PARK 21 5,Coast,22.00,1.04000,22.880,-12.93,,,157.86,856,5.59,,0.00,0.00,1
220245,30.9956000,-102.2235000,1,MC CAMEY 8,MC CAMEY 8 2,Far West,13.80,1.04000,14.352,41.60,,,157.00,3738,12.18,,0.00,0.00,1
190136,35.4428000,-101.3728000,2,PANHANDLE 6,PANHANDLE 6 2,North,24.00,1.03938,24.945,50.74,,,156.74,3110,-2.12,,0.00,0.00,1
111391,29.2894000,-96.0654000,7,WHARTON 4,WHARTON 4 3,Coast,24.00,1.04400,25.056,-3.83,,,156.62,873,14.18,,0.00,0.00,1
120445,29.2567000,-98.3825000,6,ELMENDORF 11,ELMENDORF 11 6,South Central,13.80,1.04000,14.352,13.52,,,156.57,1252,-0.28,,0.00,0.00,1
