Gen
SubNumber,BusNum,BusName,ID,Status,MW,Mvar,MWMin,MWMax,AGC,BidPoints,CubicB,CubicC,VariableOM,FuelCost,CubicD,AVR,RegBusNum,FuelType,VoltSet,MvarMin,MvarMax,EnforceMWLimit,PartFact,CostModel
828,111180,BAYTOWN 10 2,1,Closed,643.52,1.54,87.52,746.00,YES,5,7.71,0.0029,4.0000,2.8140,0.00,YES,111179,NG (Natural Gas),1.04000,-250.07,379.71,YES,746.00,Piecewise Linear
828,111181,BAYTOWN 10 3,1,Closed,630.21,1.54,303.73,749.00,YES,5,9.35,0.0009,4.0000,3.2190,0.00,YES,111179,NG (Natural Gas),1.04000,-231.35,381.24,YES,749.00,Piecewise Linear
829,111183,GALENA PARK 18 2,1,Closed,46.58,21.81,15.73,54.00,YES,5,25.64,0.0011,5.0000,3.1440,0.00,YES,111183,NG (Natural Gas),1.04000,-15.80,27.49,YES,54.00,Piecewise Linear
829,111184,GALENA PARK 18 3,1,Closed,23.42,27.49,6.30,54.00,YES,5,25.67,0.0005,5.0000,3.6460,0.00,YES,111184,NG (Natural Gas),1.04000,-18.36,27.49,YES,54.00,Piecewise Linear
829,111185,GALENA PARK 18 4,1,Closed,46.58,22.62,23.18,54.00,YES,5,25.54,0.0030,5.0000,3.2420,0.00,YES,111185,NG (Natural Gas),1.04000,-16.92,27.49,YES,54.00,Piecewise Linear
829,111186,GALENA PARK 18 5,1,Closed,43.13,21.28,23.19,50.00,YES,5,25.57,0.0027,5.0000,2.8200,0.00,YES,111186,NG (Natural Gas),1.04000,-14.50,25.45,YES,50.00,Piecewise Linear
829,111187,GALENA PARK 18 6,1,Closed,55.21,28.68,21.89,64.00,YES,5,25.62,0.0012,5.0000,2.9950,0.00,YES,111187,NG (Natural Gas),1.04000,-17.09,32.58,YES,64.00,Piecewise Linear
829,111188,GALENA PARK 18 7,1,Closed,43.40,17.20,26.28,54.00,YES,5,25.60,0.0018,5.0000,3.4490,0.00,YES,111188,NG (Natural Gas),1.04000,-18.67,27.49,YES,54.00,Piecewise Linear
830,111190,CYPRESS 54 2,1,Closed,60.57,5.90,27.60,104.00,YES,5,10.04,0.0003,4.5000,3.1720,0.00,YES,111190,NG (Natural Gas),1.04000,-32.25,52.94,YES,104.00,Piecewise Linear
830,111191,CYPRESS 54 3,1,Closed,81.41,8.33,48.44,104.00,YES,5,9.92,0.0015,4.5000,3.8030,0.00,YES,111191,NG (Natural Gas),1.04000,-33.75,52.94,YES,104.00,Piecewise Linear
830,111192,CYPRESS 54 4,1,Closed,49.17,10.12,20.52,57.00,YES,5,9.95,0.0022,4.5000,3.0840,0.00,YES,111192,NG (Natural Gas),1.04000,-16.93,29.01,YES,57.00,Piecewise Linear
830,111193,CYPRESS 54 5,1,Closed,32.72,6.75,14.65,57.00,YES,5,10.03,0.0008,4.5000,3.3140,0.00,YES,111193,NG (Natural Gas),1.04000,-15.98,29.01,YES,57.00,Piecewise Linear
830,111194,CYPRESS 54 6,1,Closed,49.17,8.94,28.41,57.00,YES,5,9.94,0.0024,4.5000,3.3880,0.00,YES,111194,NG (Natural Gas),1.04000,-16.85,29.01,YES,57.00,Piecewise Linear
830,111195,CYPRESS 54 7,1,Closed,49.17,5.73,24.09,57.00,YES,5,9.90,0.0030,4.5000,3.1920,0.00,YES,111195,NG (Natural Gas),1.04000,-16.91,29.01,YES,57.00,Piecewise Linear
830,111196,CYPRESS 54 8,1,Closed,49.17,7.51,14.15,57.00,YES,5,9.94,0.0023,4.5000,3.0500,0.00,YES,111196,NG (Natural Gas),1.04000,-15.26,29.01,YES,57.00,Piecewise Linear
830,111197,CYPRESS 54 9,1,Closed,49.17,5.05,13.05,57.00,YES,5,10.01,0.0012,4.5000,3.2760,0.00,YES,111197,NG (Natural Gas),1.04000,-18.09,29.01,YES,57.00,Piecewise Linear
