Branch
From Number,From Name,To Number,To Name,Circuit,Status,Branch Device Type,Xfrmr,MW From ,Mvar From ,MVA From ,Lim MVA,% of MVA Limit (Max),MW Loss,Mvar Loss
230273,MUMFORD 2 1,230267,FRANKLIN 6 1,1,Closed,Line,NO,-1265.4,172.8,1277.1,1500.0,85.9,22.52,193.01
111337,THOMPSONS 7 1,111207,THOMPSONS 6 1,1,Closed,Line,NO,-1270.8,-40.7,1271.5,1650.0,77.1,0.90,7.83
250357,TATUM 4 1,250223,TYLER 13 1,1,Closed,Line,NO,1251.1,92.2,1254.5,1875.4,66.9,25.58,282.62
120462,ADKINS 7 1,120437,ADKINS 6 1,1,Closed,Line,NO,1133.4,-70.7,1135.6,1459.0,77.8,0.12,1.67
111216,ELMATON 3 1,111218,ELMATON 3 3,1,Closed,Transformer,YES,-1102.2,54.9,1103.6,1664.0,66.5,1.92,120.16
111216,ELMATON 3 1,111217,ELMATON 3 2,1,Closed,Transformer,YES,-1102.8,14.6,1102.9,1664.0,66.5,1.35,79.89
230068,BRENHAM 5 1,230263,FAYETTEVILLE 2 1,1,Closed,Line,NO,-1064.1,111.5,1069.9,1300.0,82.9,13.33,142.33
150440,GLEN ROSE 5 1,150441,GLEN ROSE 5 2,1,Closed,Transformer,YES,-1037.7,240.9,1065.3,1566.5,68.0,1.78,85.51
150440,GLEN ROSE 5 1,150442,GLEN ROSE 5 3,1,Closed,Transformer,YES,-1029.0,241.7,1057.0,1553.5,68.0,1.86,86.25
150449,WICHITA FALLS 11 1,150529,MUENSTER 6 1,1,Closed,Line,NO,1053.8,54.4,1055.2,1500.0,70.3,31.46,267.02
130350,DUNCANVILLE 14 1,260119,CEDAR HILL 4 1,1,Closed,Line,NO,-1033.8,-44.6,1034.7,1914.0,54.4,4.13,29.95
260119,CEDAR HILL 4 1,260206,VENUS 3 1,2,Closed,Line,NO,-1021.0,151.0,1032.1,1874.9,55.1,6.15,32.36
260119,CEDAR HILL 4 1,260206,VENUS 3 1,1,Closed,Line,NO,-1021.0,151.0,1032.1,1874.9,55.1,6.15,32.36
230273,MUMFORD 2 1,230288,COLLEGE STATION 12 1,1,Closed,Line,NO,1027.9,-47.0,1028.9,1200.0,85.7,5.74,50.20
270216,MARION 2 1,270179,NEW BRAUNFELS 12 1,1,Closed,Line,NO,1008.2,-18.4,1008.4,1601.6,63.0,3.22,33.94
190194,CROWELL 2 1,240299,WEINERT 3 1,1,Closed,Line,NO,972.4,32.4,972.9,1329.0,73.2,19.30,172.31
150440,GLEN ROSE 5 1,150521,RAINBOW 5 1,2,Closed,Line,NO,963.6,-119.7,971.0,1459.3,66.6,2.18,20.29
150440,GLEN ROSE 5 1,150521,RAINBOW 5 1,1,Closed,Line,NO,963.6,-119.7,971.0,1459.3,66.6,2.18,20.29
150440,GLEN ROSE 5 1,150521,RAINBOW 5 1,3,Closed,Line,NO,963.6,-119.7,971.0,1459.3,66.6,2.18,20.29
150152,AZLE 1 1,150487,POOLVILLE 2 1,1,Closed,Line,NO,-919.9,132.5,929.4,1500.0,62.1,8.84,68.35
150152,AZLE 1 1,150487,POOLVILLE 2 1,2,Closed,Line,NO,-919.9,132.5,929.4,1500.0,62.1,8.84,68.35
150152,AZLE 1 1,150487,POOLVILLE 2 1,3,Closed,Line,NO,-919.9,132.5,929.4,1500.0,62.1,8.84,68.35
111284,CLUTE 5 1,111305,SWEENY 5 1,1,Closed,Line,NO,-912.6,66.2,915.0,1242.0,73.9,4.60,19.50
110126,BAY CITY 3 1,160264,POINT COMFORT 6 1,1,Closed,Line,NO,-893.0,137.2,903.4,1245.4,73.0,15.74,96.84
111362,WHARTON 3 1,111389,WHARTON 4 1,1,Closed,Line,NO,-884.6,36.5,885.4,1287.5,68.8,0.14,0.89
150449,WICHITA FALLS 11 1,150550,VERNON 2 1,1,Closed,Line,NO,-861.0,72.2,864.1,1370.3,63.9,13.74,111.06
110126,BAY CITY 3 1,111216,ELMATON 3 1,1,Closed,Line,NO,-847.6,1.6,847.6,1371.2,62.0,2.68,21.00
250357,TATUM 4 1,250217,HENDERSON 6 1,1,Closed,Line,NO,825.7,-10.5,825.7,1216.5,67.9,4.67,45.63
